"category","description","met",
"Bicycling","bicycling, mountain, uphill, vigorous","14",
"Bicycling","bicycling, mountain, competitive, racing","16",
"Bicycling","bicycling, BMX","8.5",
"Bicycling","bicycling, mountain, general","8.5",
"Bicycling","bicycling, <10 mph, leisure, to work or for pleasure","4",
"Bicycling","bicycling, to/from work, self selected pace","6.8",
"Bicycling","bicycling, on dirt or farm road, moderate pace","5.8",
"Bicycling","bicycling, general","7.5",
"Bicycling","bicycling, leisure, 5.5 mph","3.5",
"Bicycling","bicycling, leisure, 9.4 mph","5.8",
"Bicycling","bicycling, 10-11.9 mph, leisure, slow, light effort","6.8",
"Bicycling","bicycling, 12-13.9 mph, leisure, moderate effort","8",
"Bicycling","bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort","10",
"Bicycling","bicycling, 16-19 mph, racing/not drafting or > 19 mph drafting, very fast, racing general","12",
"Bicycling","bicycling, > 20 mph, racing, not drafting","15.8",
"Bicycling","bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm","8.5",
"Bicycling","bicycling, 12 mph, standing, hands on brake hoods, 60 rpm","9.0",
"Bicycling","unicycling","5",
"Conditioning Exercise","activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga)","2.3",
"Conditioning Exercise","activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance)","3.8",
"Conditioning Exercise","activity promoting video/arcade game (e.g., Exergaming, Dance Dance Revolution), vigorous effort","7.2",
"Conditioning Exercise","army type obstacle course exercise, boot camp training program","5.0",
"Conditioning Exercise","bicycling, stationary, general","7",
"Conditioning Exercise","bicycling, stationary, 30-50 watts, very light to light effort","3.5",
"Conditioning Exercise","bicycling, stationary, 90-100 watts, moderate to vigorous effort","6.8",
"Conditioning Exercise","bicycling, stationary, 101-160 watts, vigorous effort","8.8",
"Conditioning Exercise","bicycling, stationary, 161-200 watts, vigorous effort","11",
"Conditioning Exercise","bicycling, stationary, 201-270 watts, very vigorous effort","14",
"Conditioning Exercise","bicycling, stationary, 51-89 watts, light-to-moderate effort","4.8",
"Conditioning Exercise","bicycling, stationary, RPM/Spin bike class","8.5",
"Conditioning Exercise","calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort","8",
"Conditioning Exercise","calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort","3.8",
"Conditioning Exercise","calisthenics (e.g., situps, abdominal crunches), light effort","2.8",
"Conditioning Exercise","calisthenics, light or moderate effort, general (example: back exercises), going up & down from floor","3.5",
"Conditioning Exercise","circuit training, moderate effort","4.3",
"Conditioning Exercise","circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity","8",
"Conditioning Exercise","CurvesTM exercise routines in women","3.5",
"Conditioning Exercise","Elliptical trainer, moderate effort","5.0",
"Conditioning Exercise","resistance training (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort","6",
"Conditioning Exercise","resistance (weight) training, squats , slow or explosive effort","5",
"Conditioning Exercise","resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance","3.5",
"Conditioning Exercise","health club exercise, general","5.5"
"Conditioning Exercise","health club exercise classes, general, gym/weight training combined in one visit","5.0",
"Conditioning Exercise","health club exercise, conditioning classes","7.8",
"Conditioning Exercise","home exercise, general","3.8",
"Conditioning Exercise","stair-treadmill ergometer, general","9",
"Conditioning Exercise","rope skipping, general","11",
"Conditioning Exercise","rowing, stationary ergometer, general, vigorous effort","6",
"Conditioning Exercise","rowing, stationary, general, moderate effort","4.8",
"Conditioning Exercise","rowing, stationary, 100 watts, moderate effort","7",
"Conditioning Exercise","rowing, stationary, 150 watts, vigorous effort","8.5",
"Conditioning Exercise","rowing, stationary, 200 watts, very vigorous effort","12",
"Conditioning Exercise","ski machine, general","6.8",
"Conditioning Exercise","slide board exercise, general","11.0",
"Conditioning Exercise","slimnastics, jazzercise","6",
"Conditioning Exercise","stretching, mild","2.3",
"Conditioning Exercise","pilates, general","3",
"Conditioning Exercise","teaching exercise class (e.g., aerobic, water)","6.8",
"Conditioning Exercise","therapeutic exercise ball, Fitball exercise","2.8",
"Conditioning Exercise","upper body exercise, arm ergometer","2.8",
"Conditioning Exercise","upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate","4.3",
"Conditioning Exercise","water aerobics, water calisthenics, water exercise","5.3",
"Conditioning Exercise","whirlpool, sitting","1.3",
